Gender	HornLength	Bodymass
male	8.111043726	90.06961746
male	13.91563256	84.67157372
male	3.811435827	96.68255321
male	10.57885794	89.24178584
male	6.558335949	90.19146626
male	10.01135137	87.52647615
male	8.715125023	88.49592892
male	5.963828522	88.07666059
male	9.126982416	93.43193345
male	9.08728302	96.74465482
male	7.438889313	91.89295343
male	9.472446655	87.10114433
male	7.8028745	91.42465933
male	9.086550235	92.69199596
male	3.155046332	95.45711554
male	10.54645067	91.91210624
male	12.58354955	86.99203936
male	13.81435754	84.14732315
male	10.68086005	89.43120788
male	10.61545419	92.58014636
male	10.69813653	90.71837063
male	9.442077287	89.98471987
male	8.36036959	88.22253247
male	3.638864437	93.88386901
male	12.05892502	90.02928874
male	14.39664402	83.36092364
male	9.030624892	89.67058154
male	4.179742701	94.28327288
male	10.01622366	90.22868379
male	12.70143876	89.57137584
male	12.7182722	86.25913044
male	7.526263182	92.46496768
male	11.86506437	90.40659175
male	7.129685456	91.96950581
male	12.02881838	88.37516628
male	10.4086553	88.86729585
male	8.661254352	92.67909469
male	6.886584914	90.09135358
male	9.989787689	87.9294524
male	11.13231327	90.31906961
male	7.879884506	90.77310859
male	5.695205166	93.04434666
male	5.602403942	93.56736029
male	5.185483465	96.09216219
male	13.93624229	88.7698729
male	12.04569293	88.77585137
male	10.89706247	91.86991322
male	4.621229806	96.82350149
male	6.9714904	91.81776826
male	11.58941903	89.35169533
female	8.169264218	82.00025929
female	12.92337457	89.26316113
female	4.88653229	72.70766408
female	8.177917141	83.39071841
female	8.38440536	84.08538184
female	10.98953202	84.99056834
female	3.691585615	84.08124402
female	12.11140805	85.42734473
female	7.259841269	76.72963999
female	1.116067749	75.15325857
female	5.454005892	80.28882411
female	11.04357845	85.09809047
female	10.22284622	80.76070234
female	9.587112319	78.87042371
female	4.091085213	75.01763368
female	10.80317632	79.17300039
female	14.47902463	86.10496457
female	14.20812335	89.94012649
female	11.62665443	82.84190985
female	6.687539198	79.07806049
female	10.58822069	82.69052992
female	12.05764098	83.53429257
female	10.86716257	84.83732927
female	7.681835331	77.91689213
female	7.546329746	82.6740769
female	16.47917734	91.32565764
female	12.59628283	82.9913362
female	7.664480778	76.95013743
female	9.860465987	80.78234384
female	11.54135888	82.9401303
female	12.19953087	86.60754514
female	6.952758218	79.20403057
female	11.93328074	81.4998699
female	12.69155861	82.2268069
female	8.293526213	83.81173184
female	9.005367317	84.00548142
female	10.95103621	79.73241628
female	9.236533558	82.38521442
female	7.487000353	84.794595
female	8.768373723	81.40130685
female	8.795791977	81.57313598
female	6.523261488	79.17718381
female	6.159024307	77.16098578
female	2.796106281	75.01527297
female	10.12550362	85.28300517
female	9.692211381	84.12385209
female	6.752020866	78.75307296
female	1.637429955	73.62469618
female	7.249325438	81.2969535
female	9.986021037	83.11773302
not_sure	5.657177884	87.48649637
not_sure	10.8020399	94.72523194
not_sure	4.880433081	77.19517372
not_sure	11.15178009	88.22587525
not_sure	13.11349995	88.80370451
not_sure	9.178699918	89.5114657
not_sure	11.79276643	88.93587882
not_sure	7.919916976	88.9625581
not_sure	7.110000836	81.0017506
not_sure	7.047472463	77.74109729
not_sure	8.149227595	84.34633013
not_sure	10.15631668	90.49906005
not_sure	7.933714179	86.18735083
not_sure	10.08428797	83.40515771
not_sure	3.407711334	78.82342255
not_sure	9.261225971	83.87781734
not_sure	10.12177989	92.15424031
not_sure	13.74688779	96.16945884
not_sure	4.197842615	87.55303594
not_sure	6.205214935	84.3718301
not_sure	10.99081835	88.63891416
not_sure	8.646296563	87.1139347
not_sure	9.396626353	89.77416641
not_sure	6.859613746	82.58514048
not_sure	7.541682256	86.749541
not_sure	16.29585076	96.41528206
not_sure	11.18185521	87.31146635
not_sure	7.596594553	81.1851191
not_sure	10.76066125	85.52638915
not_sure	10.89335198	87.7019809
not_sure	13.52231047	92.37857355
not_sure	8.104540625	83.37578291
not_sure	11.02309866	85.90588291
not_sure	4.872427835	85.8847211
not_sure	12.5568656	88.4354098
not_sure	6.811926699	89.12687505
not_sure	11.56310481	83.59624332
not_sure	7.571537679	87.4527143
not_sure	14.29857688	90.17078749
not_sure	10.60721305	86.51723898
not_sure	7.986437617	86.56605933
not_sure	6.052544019	83.03538028
not_sure	3.525907542	80.59277552
not_sure	8.100029462	78.44660564
not_sure	11.95127245	89.48235246
not_sure	8.335381756	88.68879165
not_sure	8.991957073	85.12538184
not_sure	4.394648218	77.17192046
not_sure	8.270715297	85.65464062
not_sure	10.19325401	87.70507517
